Cliente;Vendedor;CNPJ;Grupo Economico
MINI MERCADO PARQUE COCAIA II LTDA;JOSE ARTENCIO - DS;7,8127E+12;MERCADO GRAJAU
SUPERMERCADO OURINHOS LTDA;FELIPE GOMES;4,69519E+13;OURINHOS
SUPERMERCADO OURINHOS LTDA;FELIPE GOMES;4,69519E+13;OURINHOS
SUPERMERCADO OURINHOS LTDA;FELIPE GOMES;4,69519E+13;OURINHOS
PARRACHO COMERCIO DE DOCES E ALIMENTOS LTDA - 01;JOSE ARTENCIO - AS;6,4883E+13;PARRACHO
PARRACHO COMERCIO DE DOCES E ALIMENTOS LTDA - 01;JOSE ARTENCIO - AS;6,4883E+13;PARRACHO
FEDERZONI - S S COM DE ALIMENTOS LTDA - 01;CLAUDIO AKIO SOGA;6,79544E+13;FEDERZONI
FEDERZONI - S S COM DE ALIMENTOS LTDA - 01;CLAUDIO AKIO SOGA;6,79544E+13;FEDERZONI
FEDERZONI - S S COM DE ALIMENTOS LTDA - 01;CLAUDIO AKIO SOGA;6,79544E+13;FEDERZONI
FEDERZONI - FEDERZONI SERPA COMERCIO DE ALIMENTOS L - 02;CLAUDIO AKIO SOGA;7,16538E+12;FEDERZONI
FEDERZONI - FEDERZONI SERPA COMERCIO DE ALIMENTOS L - 02;CLAUDIO AKIO SOGA;7,16538E+12;FEDERZONI
FEDERZONI - FEDERZONI SERPA COMERCIO DE ALIMENTOS L - 02;CLAUDIO AKIO SOGA;7,16538E+12;FEDERZONI
TRIMAIS SUPERMERCADOS S/A;DANIEL CAMACHO;7,9475E+12;TRIMAIS (BERGAMAIS) LOJAS
SUPERMERCADO DA PRACA DE SAPOPEMBA LTDA;LEONARDO VINICIUS;1,21078E+13;DA PRACA
DA PRACA - SUPERMERCADO JARDIM VILA CARRAO LTDA - 15;LEONARDO VINICIUS;1,20632E+13;DA PRACA
FRIGOYAMA SUPERMERCADOS LTDA;KELVIN;1,09679E+13;FRIGOYAMA
FRIGOYAMA SUPERMERCADOS LTDA;KELVIN;1,09679E+13;FRIGOYAMA
FRIGOYAMA SUPERMERCADOS LTDA;KELVIN;1,09679E+13;FRIGOYAMA
FRIGOYAMA SUPERMERCADOS LTDA;KELVIN;1,09679E+13;FRIGOYAMA
FRIGOYAMA SUPERMERCADOS LTDA;KELVIN;1,09679E+13;FRIGOYAMA
HMF - SUPERMERCADOS LTDA - 03;MARIO MIZUKA;1,02586E+13;HMF
HMF - SUPERMERCADOS LTDA - 01;ERICK MOREIRA;1,02586E+13;BOIZAO
HMF - SUPERMERCADOS LTDA - 01;ERICK MOREIRA;1,02586E+13;BOIZAO
HMF - SUPERMERCADOS LTDA - 01;ERICK MOREIRA;1,02586E+13;BOIZAO
HMF - SUPERMERCADOS LTDA - 01;ERICK MOREIRA;1,02586E+13;BOIZAO
HMF - SUPERMERCADOS LTDA - 01;ERICK MOREIRA;1,02586E+13;BOIZAO
NAVARRO - MERCADO NAVARRO LTDA - 02;CAROLINA DOS SANTOS ROCHA;1,40155E+13;NAVARRO
NAVARRO - MERCADO NAVARRO LTDA - 02;CAROLINA DOS SANTOS ROCHA;1,40155E+13;NAVARRO
COMERCIAL DE ALIMENTOS OLIVEIRA LEAO LTDA;MARIO MIZUKA;5,95813E+12;OLIVEIRA LEAO
MERCADINHO PRIMALTER LTDA;CAROLINA DOS SANTOS ROCHA;5,6802E+13;PRIMALTER
MERCADINHO PRIMALTER LTDA;CAROLINA DOS SANTOS ROCHA;5,6802E+13;PRIMALTER
CASA DE CARNES TURMALINA LTDA;ALENCAR SILVA;3,57394E+12;TURMALINA
CASA DE CARNES TURMALINA LTDA;ALENCAR SILVA;3,57394E+12;TURMALINA
COOP - COOPERATIVA DE CONSUMO;CAIO VINICIUS AMORIM;5,75084E+13;COOP - LOJAS
COOP - COOPERATIVA DE CONSUMO;CAIO VINICIUS AMORIM;5,75084E+13;COOP - LOJAS
COOP - COOPERATIVA DE CONSUMO;CAIO VINICIUS AMORIM;5,75084E+13;COOP - LOJAS
COOP - COOPERATIVA DE CONSUMO;CAIO VINICIUS AMORIM;5,75084E+13;COOP - LOJAS
JOSE LOPES LACERDA;JUAREZ COSTA;7,1856E+13;CASA DO NORTE LACERDA
KLEBER CARNES LTDA ME;INES MARTIN;7,7521E+12;KLEBER CARNES
KLEBER CARNES LTDA ME;INES MARTIN;7,7521E+12;KLEBER CARNES
KLEBER CARNES LTDA ME;INES MARTIN;7,7521E+12;KLEBER CARNES
M G ENTREPOSTO DE CARNES LTDA;KELVIN;5,39248E+13;M G ENTREPOSTO
M G ENTREPOSTO DE CARNES LTDA;KELVIN;5,39248E+13;M G ENTREPOSTO
M G ENTREPOSTO DE CARNES LTDA;KELVIN;5,39248E+13;M G ENTREPOSTO
M G ENTREPOSTO DE CARNES LTDA;KELVIN;5,39248E+13;M G ENTREPOSTO
M G ENTREPOSTO DE CARNES LTDA;KELVIN;5,39248E+13;M G ENTREPOSTO
M G ENTREPOSTO DE CARNES LTDA;KELVIN;5,39248E+13;M G ENTREPOSTO
M G ENTREPOSTO DE CARNES LTDA;KELVIN;5,39248E+13;M G ENTREPOSTO
